,Unnamed: 0.1,clusters,clusters_2011_edited,clusters_2011_cleanup,idx,oa_name,OA11CD,LSOA11CD,Unnamed: 0,xcoord,ycoord,panoid,lat,lon,month,year,azi,id
0,592082_b,10,1,Green space,592082,E00022087,E00022087,E01004392,814050,-0.0287921367081655,51.5843541417261,qCA5UHXMl5kPmoEa9x1cXw,51.5843480269981,-0.028781038046757,8,2012,161.826196950708,912DFF91-9353-406E-B371-E569C271DF46
1,592082_d,18,0,High-density,592082,E00022087,E00022087,E01004392,814050,-0.0287921367081655,51.5843541417261,qCA5UHXMl5kPmoEa9x1cXw,51.5843480269981,-0.028781038046757,8,2012,161.826196950708,912DFF91-9353-406E-B371-E569C271DF46
2,592083_b,10,1,Green space,592083,E00022087,E00022087,E01004392,814051,-0.0288747300923135,51.5845264070087,UiZy0iQbJGsfzO_mNHjdyw,51.5845300095356,-0.0288682098329027,8,2012,161.826196950708,912DFF91-9353-406E-B371-E569C271DF46
3,592083_d,18,0,High-density,592083,E00022087,E00022087,E01004392,814051,-0.0288747300923135,51.5845264070087,UiZy0iQbJGsfzO_mNHjdyw,51.5845300095356,-0.0288682098329027,8,2012,161.826196950708,912DFF91-9353-406E-B371-E569C271DF46
4,592088_d,18,0,High-density,592088,E00022087,E00022087,E01004392,814059,-0.0274329060857734,51.5852470875015,hhp95KIESjEcQTfkZipSCQ,51.58524710358461,-0.0274435943118521,11,2008,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E
5,592088_b,18,0,High-density,592088,E00022087,E00022087,E01004392,814059,-0.0274329060857734,51.5852470875015,hhp95KIESjEcQTfkZipSCQ,51.58524710358461,-0.0274435943118521,11,2008,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E
6,592075_d,18,0,High-density,592075,E00022087,E00022087,E01004392,814043,-0.0276059690670166,51.58601867957021,9voR7eQT-e5_KlklA0c6nw,51.5859766260171,-0.0277328990154397,6,2008,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
7,592075_b,18,0,High-density,592075,E00022087,E00022087,E01004392,814043,-0.0276059690670166,51.58601867957021,9voR7eQT-e5_KlklA0c6nw,51.5859766260171,-0.0277328990154397,6,2008,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
8,592072_b,18,0,High-density,592072,E00022087,E00022087,E01004392,814040,-0.028401474681855,51.58580579551301,wS-AM65ctvG8qWdkcCGvcg,51.5858132099258,-0.0283927032187954,6,2008,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
9,592072_d,18,0,High-density,592072,E00022087,E00022087,E01004392,814040,-0.028401474681855,51.58580579551301,wS-AM65ctvG8qWdkcCGvcg,51.5858132099258,-0.0283927032187954,6,2008,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
10,592069_d,18,0,High-density,592069,E00022087,E00022087,E01004392,814036,-0.0291827226105422,51.5854958489884,4B4xaGK5MIJR21r_c_6PBw,51.585518426058,-0.0291788198876559,6,2008,173.229691112426,D40B89C5-F2F8-4D1B-8EB1-66DBC489FD4C
11,592069_b,4,4,Low-density,592069,E00022087,E00022087,E01004392,814036,-0.0291827226105422,51.5854958489884,4B4xaGK5MIJR21r_c_6PBw,51.585518426058,-0.0291788198876559,6,2008,173.229691112426,D40B89C5-F2F8-4D1B-8EB1-66DBC489FD4C
12,592132_b,18,0,High-density,592132,E00022087,E00022087,E01004392,814111,-0.0265621679545705,51.5856997919147,gkLl2FICrMdsuXwp7xKb3w,51.5855341493924,-0.0264569547376203,11,2008,243.34620725288104,D2BEA324-A35F-4151-BF55-E56492CFFF5E
13,592132_d,18,0,High-density,592132,E00022087,E00022087,E01004392,814111,-0.0265621679545705,51.5856997919147,gkLl2FICrMdsuXwp7xKb3w,51.5855341493924,-0.0264569547376203,11,2008,243.34620725288104,D2BEA324-A35F-4151-BF55-E56492CFFF5E
14,592133_b,18,0,High-density,592133,E00022087,E00022087,E01004392,814112,-0.0266890402737024,51.585861272711,Yijsgi26kMmQanpDBBDaGw,51.5855284425126,-0.0264793071445751,6,2008,243.34620725288104,D2BEA324-A35F-4151-BF55-E56492CFFF5E
15,592133_d,18,0,High-density,592133,E00022087,E00022087,E01004392,814112,-0.0266890402737024,51.585861272711,Yijsgi26kMmQanpDBBDaGw,51.5855284425126,-0.0264793071445751,6,2008,243.34620725288104,D2BEA324-A35F-4151-BF55-E56492CFFF5E
16,592251_b,18,0,High-density,592251,E00022087,E00022087,E01004392,814267,-0.0261741548726507,51.5856148453996,8ty2pJ34j5BhHbK9bNAIqA,51.5856116701066,-0.0261809817550883,11,2008,243.25858684194,994CAC9A-D7FB-48BE-9891-3BAB524D88BD
17,592073_b,18,0,High-density,592073,E00022087,E00022087,E01004392,814041,-0.0281363069567642,51.585876757474296,ngWPfAilcihE_Fqfd3E-ag,51.585872967281,-0.0281386920424769,8,2012,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
18,592073_d,18,0,High-density,592073,E00022087,E00022087,E01004392,814041,-0.0281363069567642,51.585876757474296,ngWPfAilcihE_Fqfd3E-ag,51.585872967281,-0.0281386920424769,8,2012,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
19,592085_d,18,0,High-density,592085,E00022087,E00022087,E01004392,814056,-0.0282168582214865,51.5850181920328,C8f0G20sZhAdZ8ACojdtbg,51.58501318756821,-0.0282171808492533,11,2008,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E
20,592085_b,18,0,High-density,592085,E00022087,E00022087,E01004392,814056,-0.0282168582214865,51.5850181920328,C8f0G20sZhAdZ8ACojdtbg,51.58501318756821,-0.0282171808492533,11,2008,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E
21,592074_d,18,0,High-density,592074,E00022087,E00022087,E01004392,814042,-0.0278711384184832,51.5859477188266,pOKavyuzGEOpRNAu488-nw,51.5859460006775,-0.0278642516803934,8,2012,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
22,592074_b,18,0,High-density,592074,E00022087,E00022087,E01004392,814042,-0.0278711384184832,51.5859477188266,pOKavyuzGEOpRNAu488-nw,51.5859460006775,-0.0278642516803934,8,2012,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
23,592657_d,10,1,Green space,592657,E00171483,E00171483,E01004392,814790,-0.0296368349232297,51.5819276185864,VrWoUjxu8QRRmjASUrWO5g,51.5819314813094,-0.0296422281496562,7,2011,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
24,592657_b,11,13,Estates,592657,E00171483,E00171483,E01004392,814790,-0.0296368349232297,51.5819276185864,VrWoUjxu8QRRmjASUrWO5g,51.5819314813094,-0.0296422281496562,7,2011,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
25,592704_b,6,10,High-density,592704,E00171483,E00171483,E01004392,814856,-0.0271589556606023,51.5822920001793,aStkvhlc2T1V4fVyrPBUoA,51.5823035156234,-0.0271022681071243,8,2012,259.541329895436,28EE9CE0-BAE7-4076-9824-4C22E006849A
26,592704_d,10,1,Green space,592704,E00171483,E00171483,E01004392,814856,-0.0271589556606023,51.5822920001793,aStkvhlc2T1V4fVyrPBUoA,51.5823035156234,-0.0271022681071243,8,2012,259.541329895436,28EE9CE0-BAE7-4076-9824-4C22E006849A
27,592701_d,10,1,Green space,592701,E00171483,E00171483,E01004392,814853,-0.02630421774914,51.582377582867096,Sh6nyo3-nltelqiRgKDvGA,51.5823906485726,-0.0262730075244339,8,2012,258.505004282196,28EE9CE0-BAE7-4076-9824-4C22E006849A
28,592654_d,10,1,Green space,592654,E00171483,E00171483,E01004392,814787,-0.0287880103594523,51.5820302420349,Br6ccPSQEHLRT9ggpRBOAQ,51.58205441045071,-0.0287898534217171,7,2011,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
29,592654_b,6,10,High-density,592654,E00171483,E00171483,E01004392,814787,-0.0287880103594523,51.5820302420349,Br6ccPSQEHLRT9ggpRBOAQ,51.58205441045071,-0.0287898534217171,7,2011,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
30,592107_d,10,1,Green space,592107,E00171483,E00171483,E01004392,814079,-0.0286601323124377,51.5840081787187,Zc5poHRO8gfUtJaaClr6DQ,51.5839800920426,-0.02861542337021,8,2012,168.403419029417,E24B36A1-FF81-44C8-B151-9D03A2B6414A
31,592107_b,18,0,High-density,592107,E00171483,E00171483,E01004392,814079,-0.0286601323124377,51.5840081787187,Zc5poHRO8gfUtJaaClr6DQ,51.5839800920426,-0.02861542337021,8,2012,168.403419029417,E24B36A1-FF81-44C8-B151-9D03A2B6414A
32,592705_d,14,1,Green space,592705,E00171483,E00171483,E01004392,814857,-0.0274440487574531,51.5822641484822,g9A2YMQv2c0qT5X2F5wR3Q,51.5822737619664,-0.0274050295383891,8,2012,259.541329895436,28EE9CE0-BAE7-4076-9824-4C22E006849A
33,592705_b,6,10,High-density,592705,E00171483,E00171483,E01004392,814857,-0.0274440487574531,51.5822641484822,g9A2YMQv2c0qT5X2F5wR3Q,51.5822737619664,-0.0274050295383891,8,2012,259.541329895436,28EE9CE0-BAE7-4076-9824-4C22E006849A
34,593101_d,3,11,Green space,593101,E00171483,E00171483,E01004392,815339,-0.0321493177388084,51.5813484230509,4Ta2__aPsP6zv1MWeI0DbA,51.5813443434772,-0.0321697083328713,8,2012,243.181669477184,562004DC-D9BC-4A6B-950E-910FC3B5FF9C
35,592655_d,10,1,Green space,592655,E00171483,E00171483,E01004392,814788,-0.0290722386686506,51.5819991538433,2CbqSDmQ11vPO5MfkSZ79Q,51.5820199358282,-0.0291101802624887,6,2008,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
36,592700_d,14,1,Green space,592700,E00171483,E00171483,E01004392,814852,-0.0260199599485164,51.582408573906704,0i-xvtvpRNMidGjUeMgCBg,51.58239951516979,-0.0259992846681067,6,2008,258.541873147068,28EE9CE0-BAE7-4076-9824-4C22E006849A
37,592661_d,3,11,Green space,592661,E00171483,E00171483,E01004392,814794,-0.0307291397959035,51.58169511621039,EDDQQ4-1QjKf2nXwut4tmw,51.58169902067471,-0.0307608084144037,6,2008,245.77535275595295,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
38,592661_b,6,10,High-density,592661,E00171483,E00171483,E01004392,814794,-0.0307291397959035,51.58169511621039,EDDQQ4-1QjKf2nXwut4tmw,51.58169902067471,-0.0307608084144037,6,2008,245.77535275595295,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
39,592702_b,6,10,High-density,592702,E00171483,E00171483,E01004392,814854,-0.026588752247355,51.5823476369685,HN-LOM8hkHrBH23D2pT5hQ,51.5823282230449,-0.026575952389171,6,2008,259.552835260008,28EE9CE0-BAE7-4076-9824-4C22E006849A
40,592702_d,14,1,Green space,592702,E00171483,E00171483,E01004392,814854,-0.026588752247355,51.5823476369685,HN-LOM8hkHrBH23D2pT5hQ,51.5823282230449,-0.026575952389171,6,2008,259.552835260008,28EE9CE0-BAE7-4076-9824-4C22E006849A
41,592658_d,3,11,Green space,592658,E00171483,E00171483,E01004392,814791,-0.0299099104163502,51.5818694907707,cG2uJ2jzcgR1g6vs1O2fQA,51.5818779742576,-0.0298928344601794,8,2012,249.594079545137,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
42,592713_d,14,1,Green space,592713,E00171483,E00171483,E01004392,814866,-0.0260220441393736,51.5824162763106,hmG-13bxotqSLmitwgb5bg,51.5824309506244,-0.0260233053549555,8,2012,258.541873147068,28EE9CE0-BAE7-4076-9824-4C22E006849A
43,592656_d,14,1,Green space,592656,E00171483,E00171483,E01004392,814789,-0.029356466607969,51.5819680649588,HlynBZuwYk9YuKbiHZmtGg,51.58198273301189,-0.0293358346913311,7,2011,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
44,592656_b,9,8,Low-density,592656,E00171483,E00171483,E01004392,814789,-0.029356466607969,51.5819680649588,HlynBZuwYk9YuKbiHZmtGg,51.58198273301189,-0.0293358346913311,7,2011,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
45,592659_d,3,11,Green space,592659,E00171483,E00171483,E01004392,814792,-0.0301829875579951,51.58181136656071,B1Nt1Tbulc8qD6oOtQ73kQ,51.5818299563632,-0.0301348548719757,8,2012,249.594079545137,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
46,592697_b,6,10,High-density,592697,E00171483,E00171483,E01004392,814849,-0.0278929575274285,51.5824008361405,8Q2c3tuHwmifGEkBK13qDA,51.5824006460536,-0.0279027569119104,6,2008,176.7365151053,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20
47,592663_d,3,11,Green space,592663,E00171483,E00171483,E01004392,814796,-0.0312752893065918,51.581578863286,Y8KjKHFVsQUcjuUQORAZOA,51.5815734593371,-0.0313183573030704,6,2008,245.77535275595295,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
48,592698_b,6,10,High-density,592698,E00171483,E00171483,E01004392,814850,-0.0279049419688595,51.5825804455933,qziJxLj-FFM-dgSFa84yww,51.5825313350427,-0.0279030716507382,8,2012,176.738510471828,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20
49,592699_d,1,15,Commercial,592699,E00171483,E00171483,E01004392,814851,-0.0279429755002802,51.5827567352188,DiBSRpbfAk0zojCe1wvI2Q,51.582804711788704,-0.0279512255809658,8,2012,174.805571092379,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20
50,592699_b,1,15,Commercial,592699,E00171483,E00171483,E01004392,814851,-0.0279429755002802,51.5827567352188,DiBSRpbfAk0zojCe1wvI2Q,51.582804711788704,-0.0279512255809658,8,2012,174.805571092379,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20
51,592652_b,11,13,Estates,592652,E00171483,E00171483,E01004392,814785,-0.0282195526314557,51.5820924163398,WMPuunmBMyBY3JWR_u0hgg,51.5821348782392,-0.0281625350113488,6,2008,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
52,592652_d,13,6,Green space,592652,E00171483,E00171483,E01004392,814785,-0.0282195526314557,51.5820924163398,WMPuunmBMyBY3JWR_u0hgg,51.5821348782392,-0.0281625350113488,6,2008,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
53,592104_b,13,6,Green space,592104,E00171483,E00171483,E01004392,814076,-0.0285090657348678,51.58347709655349,BfRb46_5M4spK9a6uZ0Ujw,51.5834712026995,-0.0284812688813634,9,2012,168.69006752598,9D6846F9-A972-4628-8E41-B0C093E70610
54,592752_d,1,15,Commercial,592752,E00171483,E00171483,E01004392,814912,-0.0283513142060525,51.5831931776185,UXYzspmEvhCplQ03ZunL1Q,51.5832550437604,-0.0283687763327738,11,2008,157.69037797343,5C4BD4A3-CB1B-44C5-A795-54711DC545E0
55,592751_b,1,15,Commercial,592751,E00171483,E00171483,E01004392,814911,-0.0282244529541613,51.5830338273467,mz9q2PZwjfnFqwCCxIOOUQ,51.583032172392,-0.0282272536985422,7,2011,139.635463426903,5C4BD4A3-CB1B-44C5-A795-54711DC545E0
56,592727_d,1,15,Commercial,592727,E00171483,E00171483,E01004392,814884,-0.0280435500967828,51.582893752114494,iG7-33zncLg-iCWWhP0ZmQ,51.58282324514629,-0.0279649088653448,7,2011,153.88024384302602,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20
57,592727_b,1,15,Commercial,592727,E00171483,E00171483,E01004392,814884,-0.0280435500967828,51.582893752114494,iG7-33zncLg-iCWWhP0ZmQ,51.58282324514629,-0.0279649088653448,7,2011,153.88024384302602,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20
58,592113_b,17,9,Low-density,592113,E00171483,E00171483,E01004392,814088,-0.0278700273194421,51.583364404692496,N1FVfNbzZY5Wsve56--O0w,51.58334233456621,-0.0278972092910893,8,2012,65.1288302513002,A8932A84-D2E4-4E25-93E4-7BB06A111CD8
59,592023_b,9,8,Low-density,592023,E00022108,E00022108,E01004392,813984,-0.0323402870270837,51.5855983239246,2OIIBNGjrgTGGDUbFxpfZg,51.5855930851002,-0.0323778446779407,8,2012,246.899799394523,41772219-2061-47D4-A39C-731C2BFA4134
60,592023_d,10,1,Green space,592023,E00022108,E00022108,E01004392,813984,-0.0323402870270837,51.5855983239246,2OIIBNGjrgTGGDUbFxpfZg,51.5855930851002,-0.0323778446779407,8,2012,246.899799394523,41772219-2061-47D4-A39C-731C2BFA4134
61,592014_d,9,8,Low-density,592014,E00022108,E00022108,E01004392,813975,-0.0300760120125289,51.5859413148046,ZphodC5uVGc3rQN51vAKgQ,51.5859697830506,-0.0300560713880364,8,2012,154.384515679358,D0C62748-55DD-4522-99EB-3A7765CF0E5D
62,591924_b,18,0,High-density,591924,E00022108,E00022108,E01004392,813865,-0.0335052486193308,51.5853118833101,EZ6ZgFCS4IsmPab5hsx-Pw,51.5853031012222,-0.0335353164206815,6,2008,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134
63,591924_d,18,0,High-density,591924,E00022108,E00022108,E01004392,813865,-0.0335052486193308,51.5853118833101,EZ6ZgFCS4IsmPab5hsx-Pw,51.5853031012222,-0.0335353164206815,6,2008,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134
64,591925_b,18,0,High-density,591925,E00022108,E00022108,E01004392,813866,-0.0337705680639926,51.5852415526982,bfpUGHC5YGDgE_RXozljfA,51.58522828323781,-0.0337991688164024,6,2008,241.464348725365,41772219-2061-47D4-A39C-731C2BFA4134
65,591925_d,18,0,High-density,591925,E00022108,E00022108,E01004392,813866,-0.0337705680639926,51.5852415526982,bfpUGHC5YGDgE_RXozljfA,51.58522828323781,-0.0337991688164024,6,2008,241.464348725365,41772219-2061-47D4-A39C-731C2BFA4134
66,591923_b,9,8,Low-density,591923,E00022108,E00022108,E01004392,813864,-0.0332368683172799,51.5853779883731,V3-g3Dnv5Vcl-qZrgibl5A,51.5853842128461,-0.0332480609955579,6,2008,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134
